institution_id,institution_name,sector,institution_size,data_quality,data_governance,data_integration,system_capability,ai_tooling,infrastructure_resilience,fca_alignment,consumer_duty,audit_trail,talent_readiness,change_management,leadership_commitment,bias_mitigation,explainability,accountability_structures
INST_020,Cunningham Credit Management,credit_union,mid,3,3,3,2,2,2,4,3,3,3,3,4,4,3,3
INST_021,Butler Financial Services,retail_bank,mid,4,5,4,4,4,3,3,4,4,4,3,3,5,5,5
INST_022,Holden Money Solutions,credit_union,mid,2,4,2,1,3,2,4,5,4,2,3,3,3,3,2
INST_023,Green Credit Solutions,retail_bank,mid,4,4,5,4,2,3,5,4,4,4,3,3,3,2,4
INST_024,Brookes Credit Management,credit_union,large,3,2,3,3,3,4,2,4,3,3,4,2,2,3,4
INST_025,May Capital Management,credit_union,large,3,4,4,4,2,4,3,4,3,5,3,3,3,3,3
INST_026,Elliott Funding Group,credit_union,large,2,2,1,5,5,5,2,1,3,4,3,3,4,3,4
INST_027,Hawkins Credit Solutions,fintech_lender,small,3,2,3,3,3,3,5,5,4,3,2,3,4,4,3
INST_028,Kelly Money Solutions,credit_union,small,1,1,2,2,2,1,2,3,1,2,2,3,3,3,2
INST_029,Barnes Capital Services,debt_purchaser,mid,3,3,2,3,3,2,3,3,4,2,2,2,3,3,4
INST_030,Gough Capital Management,retail_bank,mid,4,4,4,4,3,4,4,5,4,4,3,3,2,2,3
INST_031,Cook Financial Services,retail_bank,small,3,3,4,3,3,3,3,3,2,4,4,4,4,4,3
INST_032,Kaur Credit Management,retail_bank,large,3,3,4,3,3,4,4,3,3,3,3,4,4,4,5
INST_033,Russell Credit Management,debt_purchaser,mid,5,5,5,4,5,4,3,3,3,2,2,2,4,4,3
INST_034,Lowe Credit Management,retail_bank,large,5,5,4,3,4,4,4,5,5,4,4,3,4,4,3
INST_035,Wilson Asset Finance,retail_bank,small,4,3,4,3,4,3,4,4,4,2,3,4,3,4,5
INST_036,Lawson Asset Finance,credit_union,small,4,4,4,2,3,4,3,3,3,1,3,3,3,3,3
INST_037,Kelly Lending Partners,debt_purchaser,mid,3,3,2,2,2,2,4,4,3,3,1,3,4,4,4
INST_038,Glover Capital Management,retail_bank,large,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
INST_039,Newman Debt Management,retail_bank,small,4,4,4,4,5,4,3,4,3,3,3,3,4,5,4
INST_040,Wilkinson Credit Solutions,retail_bank,mid,2,3,2,5,4,5,4,3,2,5,4,4,5,4,3
INST_041,Davison Recovery Services,credit_union,mid,1,2,2,2,2,2,3,4,4,3,3,2,2,2,3
INST_042,Lloyd Money Solutions,fintech_lender,large,5,4,5,5,4,4,5,4,3,5,3,4,5,3,4
INST_043,Turner Capital Management,fintech_lender,large,5,4,4,5,4,5,5,4,5,5,5,5,4,3,5
INST_044,Quinn Capital Services,retail_bank,large,3,4,4,5,5,4,4,5,3,5,5,5,4,4,2
INST_045,Lloyd Funding Group,retail_bank,small,4,4,4,4,4,4,4,3,4,3,3,4,4,4,5
INST_046,Smith Finance Group,debt_purchaser,mid,3,3,5,2,2,1,3,3,2,2,2,2,4,3,3
INST_047,Jones Financial Services,credit_union,mid,4,3,3,2,1,2,3,2,1,4,3,3,4,3,2
INST_048,Clarke Capital Services,credit_union,large,3,4,3,3,2,2,3,3,4,3,4,3,3,2,3
INST_049,Byrne Recovery Services,debt_purchaser,small,3,3,3,2,2,2,4,4,3,3,3,3,3,3,2
INST_050,Smith Credit Management,fintech_lender,large,3,4,4,3,5,4,4,4,4,3,4,4,5,5,5
INST_051,Hill Capital Management,fintech_lender,small,4,3,4,4,3,3,2,3,1,4,3,3,3,3,1
INST_052,Williams Credit Management,fintech_lender,large,5,4,4,5,5,4,3,4,3,5,5,4,4,5,4
INST_053,Wilson Capital Services,debt_purchaser,large,4,4,3,4,4,5,4,3,4,3,4,3,4,3,4
INST_054,Dawson Money Solutions,retail_bank,mid,5,4,4,4,3,4,5,5,5,5,4,5,3,3,4
INST_055,Savage Credit Management,credit_union,large,1,2,2,4,3,5,3,3,3,4,3,4,2,2,3
INST_056,Higgins Credit Solutions,debt_purchaser,mid,2,2,2,2,2,3,5,5,4,2,2,3,4,3,3
INST_057,Baker Recovery Services,retail_bank,mid,3,3,3,3,5,5,3,3,2,3,3,3,3,4,2
INST_058,Campbell Money Solutions,retail_bank,mid,4,4,4,3,3,2,5,5,4,4,4,4,4,4,3
INST_059,Francis Debt Management,retail_bank,large,4,5,5,4,4,3,4,5,5,3,4,3,3,4,3
INST_060,Scott Lending Partners,debt_purchaser,mid,2,3,2,2,2,3,3,3,3,2,3,3,3,2,2
INST_061,Duncan Capital Management,credit_union,small,1,1,2,2,2,3,3,3,1,3,3,4,3,3,2
INST_062,Andrews Capital Management,retail_bank,large,4,4,3,3,3,2,4,4,4,5,5,5,5,5,5
INST_063,Holt Debt Management,retail_bank,mid,4,4,4,3,3,4,5,4,3,4,5,5,3,3,2
INST_064,Bryan Finance Group,retail_bank,mid,4,4,2,5,5,4,5,4,4,4,5,5,3,3,3
INST_065,Collins Asset Finance,fintech_lender,small,4,4,4,4,4,3,2,1,3,4,2,3,3,4,5
INST_066,Mellor Capital Management,retail_bank,large,4,5,5,5,5,5,4,4,5,5,3,5,4,4,5
INST_067,Palmer Capital Management,fintech_lender,large,4,5,5,3,4,3,4,3,4,4,5,5,5,5,4
INST_068,Gould Recovery Services,fintech_lender,mid,3,4,3,5,5,4,3,2,4,4,3,3,4,3,4
INST_069,White Debt Management,debt_purchaser,mid,3,2,3,1,2,1,3,3,3,3,3,3,2,2,3
INST_070,Coates Asset Finance,fintech_lender,mid,3,3,4,5,5,5,4,5,4,4,3,4,4,5,4
INST_071,Taylor Funding Group,fintech_lender,mid,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5
INST_072,Simpson Funding Group,retail_bank,mid,3,4,3,5,4,4,5,4,5,4,3,4,4,4,5
INST_073,Jones Debt Management,credit_union,small,2,1,1,2,3,2,2,2,2,2,3,3,3,3,3
INST_074,Richardson Asset Finance,fintech_lender,mid,5,5,4,3,3,3,5,3,5,5,5,5,3,2,3
INST_075,Randall Capital Management,debt_purchaser,large,4,4,3,2,2,3,3,4,4,3,3,3,3,3,3
INST_076,Matthews Credit Management,fintech_lender,large,4,5,3,5,4,3,5,4,5,5,5,5,4,3,3
INST_077,Turner Recovery Services,credit_union,mid,3,5,3,4,3,2,2,2,4,4,2,2,3,2,3
INST_078,Cross Capital Management,debt_purchaser,mid,3,3,2,2,2,2,4,4,5,2,3,2,3,2,4
INST_079,Davies Money Solutions,retail_bank,small,5,5,4,3,3,4,5,4,4,4,4,4,4,3,4
INST_080,Oliver Recovery Services,fintech_lender,mid,3,3,3,4,5,3,4,4,4,5,5,4,3,3,4
INST_081,Carpenter Capital Services,fintech_lender,small,4,2,3,3,4,4,4,4,2,3,3,2,5,5,3
INST_082,Hargreaves Money Solutions,debt_purchaser,mid,3,4,2,5,4,4,4,3,4,2,2,3,3,2,3
INST_083,Fisher Recovery Services,retail_bank,large,3,5,5,4,5,5,3,3,5,3,4,4,4,4,5
INST_084,Moore Capital Management,debt_purchaser,large,2,3,3,4,5,2,4,5,4,3,2,3,3,5,4
INST_085,Hale Financial Services,debt_purchaser,mid,3,4,3,4,4,4,4,4,4,3,3,4,2,2,3
INST_086,Owens Funding Group,retail_bank,mid,2,4,3,3,3,3,4,4,4,5,5,5,3,3,3
INST_087,Burns Debt Management,fintech_lender,mid,2,2,2,5,5,4,3,3,2,4,3,4,3,5,3
INST_088,Hopkins Capital Services,retail_bank,small,3,3,3,3,3,3,5,4,5,4,4,4,5,4,5
INST_089,Harris Capital Services,retail_bank,small,5,5,4,3,2,3,3,3,4,4,4,2,3,2,3
INST_090,Kelly Credit Management,debt_purchaser,small,3,3,4,2,3,2,2,2,2,2,2,3,2,2,2
INST_091,Taylor Credit Solutions,fintech_lender,small,2,4,4,4,5,3,3,4,5,3,4,3,3,4,5
INST_092,Marsh Money Solutions,credit_union,small,3,3,3,3,3,3,2,3,2,3,3,3,2,3,2
INST_093,Bartlett Lending Partners,fintech_lender,mid,4,5,4,2,3,3,5,5,5,3,4,3,4,4,3
INST_094,Rees Funding Group,credit_union,large,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
INST_095,Carter Capital Services,credit_union,mid,4,4,4,2,2,3,3,3,3,3,4,5,2,2,2
INST_096,Parker Debt Management,fintech_lender,mid,3,2,3,2,2,3,4,4,2,4,5,5,4,4,3
INST_097,Oliver Money Solutions,retail_bank,small,3,4,4,3,4,3,4,3,4,3,4,5,3,4,4
INST_098,Ryan Lending Partners,retail_bank,small,4,4,4,3,2,3,4,2,3,4,3,4,5,3,4
INST_099,Powell Capital Management,fintech_lender,small,3,3,5,3,4,4,4,3,3,4,3,3,5,5,5
INST_100,Murray Credit Solutions,credit_union,mid,2,2,2,3,3,3,4,4,4,2,1,2,3,3,3
INST_101,Wilson Credit Management,retail_bank,large,4,3,4,5,4,5,5,5,5,5,4,4,4,4,4
INST_102,Wright Financial Services,retail_bank,large,4,4,5,4,4,3,4,3,4,4,4,4,4,3,4
INST_103,Taylor Capital Services,retail_bank,small,4,4,4,2,3,3,5,5,5,3,5,5,5,5,5
INST_104,Hawkins Finance Group,debt_purchaser,mid,3,3,2,4,3,2,3,4,3,4,4,4,2,2,2
INST_105,Miller Credit Solutions,credit_union,small,2,3,2,3,3,2,1,1,2,2,1,1,1,2,2
INST_106,Norman Recovery Services,retail_bank,mid,3,4,3,2,2,3,3,5,5,2,3,3,2,2,3
INST_107,Walker Credit Solutions,fintech_lender,large,3,3,4,2,2,4,4,3,3,4,5,5,4,4,3
INST_108,Atkinson Money Solutions,fintech_lender,small,4,4,5,4,4,4,3,2,3,3,3,4,4,4,4
INST_109,White Funding Group,retail_bank,small,3,4,1,3,4,3,3,4,5,3,4,2,4,4,4
INST_110,Richardson Money Solutions,debt_purchaser,large,5,3,3,4,4,3,4,4,3,4,4,3,4,5,4
INST_111,Miah Finance Group,debt_purchaser,mid,4,3,3,3,4,4,4,3,3,3,3,4,3,3,4
INST_112,Shaw Money Solutions,credit_union,small,2,4,3,2,2,3,3,3,4,2,2,2,3,2,2
INST_113,Middleton Finance Group,debt_purchaser,mid,2,3,3,3,4,3,3,3,2,2,2,3,3,3,2
INST_114,Dawson Recovery Services,fintech_lender,small,4,4,5,4,4,4,3,3,3,3,3,2,4,4,4
INST_115,Spencer Money Solutions,debt_purchaser,mid,2,3,1,3,4,3,3,3,4,3,3,3,3,3,4
INST_116,Walton Capital Services,credit_union,large,3,3,3,4,3,4,5,5,4,4,3,4,4,3,3
INST_117,Hart Capital Management,debt_purchaser,mid,4,2,3,3,4,3,4,3,3,4,3,4,3,3,4
INST_118,Webster Recovery Services,credit_union,large,4,4,4,4,4,3,4,3,3,4,4,4,2,2,2
INST_119,Smith Recovery Services,debt_purchaser,mid,1,2,3,3,3,3,5,4,4,2,2,2,3,2,2
INST_120,Lamb Finance Group,debt_purchaser,small,2,3,1,2,3,2,3,2,3,1,2,2,3,3,3
INST_121,Johnson Debt Management,fintech_lender,large,2,3,4,3,3,3,3,3,4,4,5,5,4,4,5
INST_122,Thomas Lending Partners,retail_bank,small,2,2,3,4,4,5,3,4,3,3,4,3,3,4,5
INST_123,Humphries Debt Management,debt_purchaser,mid,2,3,3,3,4,3,3,4,4,3,3,3,2,3,3
INST_124,Griffiths Finance Group,fintech_lender,small,4,3,3,3,4,4,3,3,3,3,5,4,4,4,3
INST_125,Woods Asset Finance,debt_purchaser,small,4,3,3,3,2,2,2,2,3,4,4,4,3,3,5
INST_126,Green Credit Management,fintech_lender,mid,3,4,3,4,5,4,4,4,4,3,3,3,3,4,3
INST_127,Watson Capital Services,fintech_lender,mid,4,4,4,4,3,2,4,4,4,3,2,2,3,3,3
INST_128,Brown Finance Group,credit_union,small,1,2,2,2,2,2,3,2,3,2,2,2,3,3,3
INST_129,Harrison Capital Management,retail_bank,small,4,4,5,4,3,4,4,4,3,3,3,3,3,3,3
INST_130,Briggs Recovery Services,debt_purchaser,large,4,5,4,3,3,5,4,4,4,2,1,2,4,4,4
INST_131,Powell Money Solutions,credit_union,small,1,1,2,3,3,3,2,1,1,3,3,3,2,2,2
INST_132,Tomlinson Debt Management,credit_union,large,3,4,4,3,3,3,3,2,3,2,2,4,4,4,4
INST_133,Hurst Capital Management,retail_bank,large,3,4,4,4,4,4,4,5,5,4,3,4,3,4,4
INST_134,Pritchard Credit Solutions,credit_union,large,3,3,3,4,4,3,4,4,3,3,3,4,4,3,3
INST_135,Jennings Lending Partners,retail_bank,mid,4,4,3,4,4,4,4,5,4,4,4,4,3,3,3
INST_136,Phillips Asset Finance,debt_purchaser,small,2,3,4,1,2,2,2,2,3,3,3,4,2,2,4
INST_137,Shaw Capital Services,credit_union,mid,2,2,3,3,2,4,4,5,4,2,1,2,2,3,3
INST_138,Phillips Credit Solutions,fintech_lender,large,4,5,5,5,5,5,4,5,5,4,4,4,4,5,5
INST_139,Brown Asset Finance,fintech_lender,large,2,2,3,5,5,4,3,4,3,5,4,3,5,5,5
INST_140,John Money Solutions,fintech_lender,large,4,4,5,5,5,5,3,4,4,5,5,4,4,5,5
INST_141,Bond Asset Finance,fintech_lender,small,4,4,4,3,3,5,3,4,3,2,4,3,3,4,3
INST_142,Lynch Financial Services,debt_purchaser,mid,2,3,3,3,1,2,2,4,4,4,3,1,3,3,4
INST_143,Hill Asset Finance,credit_union,large,2,2,2,4,4,5,1,2,2,4,4,3,2,4,3
INST_144,Brooks Capital Management,credit_union,small,4,4,4,3,2,4,3,3,3,3,3,3,2,1,1
INST_145,Nelson Credit Management,retail_bank,large,4,5,5,4,5,4,5,5,4,4,3,5,4,5,5
INST_146,Hewitt Lending Partners,debt_purchaser,small,4,5,5,4,4,3,2,3,3,5,2,3,2,3,2
INST_147,Price Funding Group,fintech_lender,mid,1,2,3,4,4,2,3,2,3,4,3,4,4,4,4
INST_148,Brooks Credit Management,retail_bank,small,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2
INST_149,James Credit Management,fintech_lender,mid,4,3,4,3,3,4,2,3,2,3,3,3,2,3,2
INST_150,Wilkinson Credit Management,fintech_lender,mid,3,2,3,5,4,4,3,2,2,4,3,4,4,3,3
